Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,9.36,-32.694,0.0,top
C1,100nF,C_0402_1005Metric,52.56,-52.194,0.0,top
C1,100nF,C_0402_1005Metric,52.56,-13.194,0.0,top
C1,100nF,C_0402_1005Metric,30.96,-32.694,0.0,top
C1,100nF,C_0402_1005Metric,30.96,-13.194,0.0,top
C1,100nF,C_0402_1005Metric,52.56,-32.694,0.0,top
C1,100nF,C_0402_1005Metric,30.96,-52.194,0.0,top
C1,100nF,C_0402_1005Metric,9.36,-13.194,0.0,top
C1,100nF,C_0402_1005Metric,9.36,-52.194,0.0,top
C2,100nF,C_0402_1005Metric,66.276,-39.102,0.0,top
C2,100nF,C_0402_1005Metric,44.676,-58.602,0.0,top
C2,100nF,C_0402_1005Metric,66.276,-58.602,0.0,top
C2,100nF,C_0402_1005Metric,23.076,-39.102,0.0,top
C2,100nF,C_0402_1005Metric,44.676,-19.602,0.0,top
C2,100nF,C_0402_1005Metric,23.076,-58.602,0.0,top
C2,100nF,C_0402_1005Metric,23.076,-19.602,0.0,top
C2,100nF,C_0402_1005Metric,66.276,-19.602,0.0,top
C2,100nF,C_0402_1005Metric,44.676,-39.102,0.0,top
C3,100nF,C_0402_1005Metric,56.878,-57.586,90.0,top
C3,100nF,C_0402_1005Metric,13.678,-57.586,90.0,top
C3,100nF,C_0402_1005Metric,56.878,-18.586,90.0,top
C3,100nF,C_0402_1005Metric,35.278,-57.586,90.0,top
C3,100nF,C_0402_1005Metric,35.278,-18.586,90.0,top
C3,100nF,C_0402_1005Metric,13.678,-18.586,90.0,top
C3,100nF,C_0402_1005Metric,13.678,-38.086,90.0,top
C3,100nF,C_0402_1005Metric,35.278,-38.086,90.0,top
C3,100nF,C_0402_1005Metric,56.878,-38.086,90.0,top
D1,SK6805-EC15,SK6805-EC15,12.3625,-31.450776,-90.0,top
D1,SK6805-EC15,SK6805-EC15,33.9625,-11.950776,-90.0,top
D1,SK6805-EC15,SK6805-EC15,55.5625,-50.950776,-90.0,top
D1,SK6805-EC15,SK6805-EC15,12.3625,-11.950776,-90.0,top
D1,SK6805-EC15,SK6805-EC15,55.5625,-11.950776,-90.0,top
D1,SK6805-EC15,SK6805-EC15,12.3625,-50.950776,-90.0,top
D1,SK6805-EC15,SK6805-EC15,55.5625,-31.450776,-90.0,top
D1,SK6805-EC15,SK6805-EC15,33.9625,-31.450776,-90.0,top
D1,SK6805-EC15,SK6805-EC15,33.9625,-50.950776,-90.0,top
D10,SK6805-EC15,SK6805-EC15,17.8,-44.188566,90.0,top
D10,SK6805-EC15,SK6805-EC15,61.0,-63.688566,90.0,top
D10,SK6805-EC15,SK6805-EC15,39.4,-24.688566,90.0,top
D10,SK6805-EC15,SK6805-EC15,61.0,-24.688566,90.0,top
D10,SK6805-EC15,SK6805-EC15,61.0,-44.188566,90.0,top
D10,SK6805-EC15,SK6805-EC15,39.4,-44.188566,90.0,top
D10,SK6805-EC15,SK6805-EC15,17.8,-24.688566,90.0,top
D10,SK6805-EC15,SK6805-EC15,39.4,-63.688566,90.0,top
D10,SK6805-EC15,SK6805-EC15,17.8,-63.688566,90.0,top
D11,SK6805-EC15,SK6805-EC15,36.275,-22.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,36.275,-42.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,57.875,-42.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,57.875,-22.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,57.875,-61.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,14.675,-42.384347,90.0,top
D11,SK6805-EC15,SK6805-EC15,14.675,-22.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,36.275,-61.884347,90.0,top
D11,SK6805-EC15,SK6805-EC15,14.675,-61.884347,90.0,top
D12,SK6805-EC15,SK6805-EC15,33.43125,-21.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,11.83125,-40.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,55.03125,-21.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,11.83125,-21.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,33.43125,-40.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,33.43125,-60.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,11.83125,-60.242507,90.0,top
D12,SK6805-EC15,SK6805-EC15,55.03125,-40.742507,90.0,top
D12,SK6805-EC15,SK6805-EC15,55.03125,-60.242507,90.0,top
D13,SK6805-EC15,SK6805-EC15,54.125,-18.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,10.925,-18.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,32.525,-37.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,54.125,-37.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,10.925,-37.880274,90.0,top
D13,SK6805-EC15,SK6805-EC15,10.925,-57.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,32.525,-57.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,32.525,-18.380274,90.0,top
D13,SK6805-EC15,SK6805-EC15,54.125,-57.380274,90.0,top
D14,SK6805-EC15,SK6805-EC15,10.39375,-15.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,53.59375,-35.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,53.59375,-15.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,31.99375,-15.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,10.39375,-35.180422,90.0,top
D14,SK6805-EC15,SK6805-EC15,10.39375,-54.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,31.99375,-54.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,53.59375,-54.680422,90.0,top
D14,SK6805-EC15,SK6805-EC15,31.99375,-35.180422,90.0,top
D15,SK6805-EC15,SK6805-EC15,57.993473,-35.25,0.0,top
D15,SK6805-EC15,SK6805-EC15,14.793473,-35.25,0.0,top
