Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D4,SK6805-EC15,SK6805-EC15,64.125,-49.615653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,107.325,-10.615653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,42.525,-10.615653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,42.525,-69.115653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,42.525,-30.115653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,64.125,-10.615653,-90.0,top
D4,SK6805-EC15,SK6805-EC15,20.925,-30.115653,-90.0,top
D5,SK6805-EC15,SK6805-EC15,45.36875,-70.757493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,88.56875,-31.757493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,88.56875,-51.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,110.16875,-70.757493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,23.76875,-31.757493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,110.16875,-31.757493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,88.56875,-70.757493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,66.96875,-12.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,23.76875,-51.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,66.96875,-51.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,66.96875,-31.757493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,45.36875,-12.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,88.56875,-12.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,45.36875,-31.757493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,23.76875,-12.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,66.96875,-70.757493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,23.76875,-70.757493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,110.16875,-12.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,45.36875,-51.257493,-90.0,top
D5,SK6805-EC15,SK6805-EC15,110.16875,-51.257493,-90.0,top
D6,SK6805-EC15,SK6805-EC15,24.675,-54.119726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,67.875,-73.619726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,24.675,-34.619726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,67.875,-34.619726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,111.075,-34.619726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,67.875,-54.119726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,46.275,-34.619726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,89.475,-54.119726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,67.875,-15.119726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,111.075,-54.119726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,89.475,-34.619726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,89.475,-73.619726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,111.075,-73.619726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,111.075,-15.119726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,46.275,-73.619726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,24.675,-15.119726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,24.675,-73.619726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,46.275,-54.119726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,46.275,-15.119726,-90.0,top
D6,SK6805-EC15,SK6805-EC15,89.475,-15.119726,-90.0,top
D7,SK6805-EC15,SK6805-EC15,25.20625,-76.319578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,25.20625,-56.819578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,111.60625,-56.819578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,46.80625,-56.819578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,68.40625,-17.819578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,111.60625,-37.319578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,46.80625,-37.319578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,90.00625,-76.319578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,25.20625,-37.319578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,68.40625,-76.319578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,111.60625,-17.819578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,90.00625,-56.819578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,68.40625,-37.319578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,68.40625,-56.819578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,46.80625,-76.319578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,90.00625,-37.319578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,46.80625,-17.819578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,25.20625,-17.819578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,111.60625,-76.319578,-90.0,top
D7,SK6805-EC15,SK6805-EC15,90.00625,-17.819578,-90.0,top
D8,SK6805-EC15,SK6805-EC15,44.8375,-21.549224,90.0,top
D8,SK6805-EC15,SK6805-EC15,109.6375,-60.549224,90.0,top
D8,SK6805-EC15,SK6805-EC15,66.4375,-80.049224,90.0,top
D8,SK6805-EC15,SK6805-EC15,66.4375,-21.549224,90.0,top
D8,SK6805-EC15,SK6805-EC15,88.0375,-41.049224,90.0,top
D8,SK6805-EC15,SK6805-EC15,109.6375,-41.049224,90.0,top
D8,SK6805-EC15,SK6805-EC15,88.0375,-60.549224,90.0,top
D8,SK6805-EC15,SK6805-EC15,88.0375,-21.549224,90.0,top
D8,SK6805-EC15,SK6805-EC15,88.0375,-80.049224,90.0,top
D8,SK6805-EC15,SK6805-EC15,23.2375,-80.049224,90.0,top
D8,SK6805-EC15,SK6805-EC15,23.2375,-60.549224,90.0,top
D8,SK6805-EC15,SK6805-EC15,66.4375,-41.049224,90.0,top
D8,SK6805-EC15,SK6805-EC15,44.8375,-80.049224,90.0,top
D8,SK6805-EC15,SK6805-EC15,23.2375,-41.049224,90.0,top
D8,SK6805-EC15,SK6805-EC15,66.4375,-60.549224,90.0,top
D8,SK6805-EC15,SK6805-EC15,109.6375,-80.049224,90.0,top
D8,SK6805-EC15,SK6805-EC15,109.6375,-21.549224,90.0,top
D8,SK6805-EC15,SK6805-EC15,44.8375,-41.049224,90.0,top
D8,SK6805-EC15,SK6805-EC15,23.2375,-21.549224,90.0,top
D8,SK6805-EC15,SK6805-EC15,44.8375,-60.549224,90.0,top
D9,SK6805-EC15,SK6805-EC15,106.91875,-81.618895,90.0,top
D9,SK6805-EC15,SK6805-EC15,20.51875,-42.618895,90.0,top
D9,SK6805-EC15,SK6805-EC15,20.51875,-62.118895,90.0,top
D9,SK6805-EC15,SK6805-EC15,20.51875,-23.118895,90.0,top
D9,SK6805-EC15,SK6805-EC15,63.71875,-62.118895,90.0,top
D9,SK6805-EC15,SK6805-EC15,106.91875,-23.118895,90.0,top
D9,SK6805-EC15,SK6805-EC15,85.31875,-23.118895,90.0,top
D9,SK6805-EC15,SK6805-EC15,106.91875,-42.618895,90.0,top
D9,SK6805-EC15,SK6805-EC15,85.31875,-42.618895,90.0,top
D9,SK6805-EC15,SK6805-EC15,63.71875,-42.618895,90.0,top
D9,SK6805-EC15,SK6805-EC15,85.31875,-62.118895,90.0,top
D9,SK6805-EC15,SK6805-EC15,42.11875,-81.618895,90.0,top
D9,SK6805-EC15,SK6805-EC15,63.71875,-81.618895,90.0,top
D9,SK6805-EC15,SK6805-EC15,42.11875,-23.118895,90.0,top
D9,SK6805-EC15,SK6805-EC15,20.51875,-81.618895,90.0,top
D9,SK6805-EC15,SK6805-EC15,42.11875,-42.618895,90.0,top
D9,SK6805-EC15,SK6805-EC15,42.11875,-62.118895,90.0,top
D9,SK6805-EC15,SK6805-EC15,106.91875,-62.118895,90.0,top
D9,SK6805-EC15,SK6805-EC15,85.31875,-81.618895,90.0,top
D9,SK6805-EC15,SK6805-EC15,63.71875,-23.118895,90.0,top
R1,470R,R_0402_1005Metric,9.36,-70.678,180.0,top
R1,470R,R_0402_1005Metric,30.96,-70.678,180.0,top
R1,470R,R_0402_1005Metric,30.96,-31.678,180.0,top
R1,470R,R_0402_1005Metric,95.76,-51.178,180.0,top
R1,470R,R_0402_1005Metric,52.56,-31.678,180.0,top
R1,470R,R_0402_1005Metric,95.76,-31.678,180.0,top
R1,470R,R_0402_1005Metric,9.36,-12.178,180.0,top
R1,470R,R_0402_1005Metric,74.16,-31.678,180.0,top
R1,470R,R_0402_1005Metric,52.56,-12.178,180.0,top
R1,470R,R_0402_1005Metric,52.56,-51.178,180.0,top
R1,470R,R_0402_1005Metric,30.96,-51.178,180.0,top
R1,470R,R_0402_1005Metric,95.76,-70.678,180.0,top
R1,470R,R_0402_1005Metric,30.96,-12.178,180.0,top
R1,470R,R_0402_1005Metric,74.16,-12.178,180.0,top
R1,470R,R_0402_1005Metric,95.76,-12.178,180.0,top
R1,470R,R_0402_1005Metric,9.36,-31.678,180.0,top
R1,470R,R_0402_1005Metric,52.56,-70.678,180.0,top
R1,470R,R_0402_1005Metric,74.16,-70.678,180.0,top
R1,470R,R_0402_1005Metric,9.36,-51.178,180.0,top
R1,470R,R_0402_1005Metric,74.16,-51.178,180.0,top
